This document is best viewed on desktops and laptops. Copyright Michael Simmons 2017-2019. All Right Reserved.																												
Master one mental model per month starting with the most useful and universals models at http://www.mentalmodelclub.com									Jeff Bezos	Dave McClure	Andy Rachleff	Balaji S. Srinivasan	Paul Graham	Frank Robinson	Ray Dalio	 Robert Metcalfe	Thucydides	Adam Smith	Clayton Christenson	James Clear	Shane Parrish	Gabriel Weinberg	Scott Page	Charlie Munger	Daniel Dennett 	Jack Barker	Hiten Shah	Brandon Chu
									Founder of Amazon				Founder of Y Combinator						Harvard B-School Professor	Serial Entrepreneur & Author	Founder Of Farnam Street	Serial Entrepreneur & Author	Researcher					GM, Platform @shopify
	Model	Description	Source	Visual	Visual Source	Visual #2	Visual Source	Sum												https://jamesclear.com/feynman-mental-models	https://www.farnamstreetblog.com/mental-models/	https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d	https://docs.google.com/document/d/1JkDxqjIjI4qBUFiqPOrOo70fYri3rdEMkyOcc1vmnsM/edit	https://seminal.leadpages.net/charlie-munger/	http://amzn.to/2hIyiXv			https://blackboxofpm.com/@brandonmchu
									1	1	1	1	2	1	139	1	1	1	2	40	116	198	95	24	74	1	3	16
General Thinking Tools	Inversion	"Otherwise known as thinking through a situation in reverse or thinking “backwards,” inversion is a problem-solving technique. Often by considering what we want to avoid rather than what we want to get, we come up with better solutions. Inversion works not just in mathematics but in nearly every area of life. As the saying goes, “Just tell me where I’m going to die so I can never go there.” - Shane Parrish  "By imagining the worst case scenario ahead of time, they could overcome their fears of negative experiences and make better plans to prevent them. While most people were focused on how they could achieve success, the Stoics also considered how they would manage failure. This way of thinking, in which you consider the opposite of what you want, is known as inversion.Inversion is a powerful thinking tool because it puts a spotlight on errors and roadblocks that are not obvious at first glance. " - James Clear  "Many problems resist being solved “from the front.” They demand that you solve them backwards or from an unintuitive angle. This is the art of inversion. Sometimes the question should not be: “What features do we build?” Rather, it should be: “What features would destroy this product?” Once you know which features are going to run your product into the ground, you can achieve a simple win just by not doing those. For PMs, the label of “CEO of the product” can sometimes tempt them into over-relying on their instincts when it comes to building product. However, it is much easier to avoid making mistakes than it is to be perfect all the time. Inversion is also a powerful way to break out of the repetitive thought-loops that can hurt your team’s ability to learn. We can easily fall into “retro-fatigue” asking questions like, “How can we innovate more?” or “Why did that project not go well?” over and over again. Our brains go on autopilot and start giving similar-sounding answers. That is why asking questions like “What can we do to innovate less?” can be such a powerful rhetorical technique. It provides you with a slightly different point of view—but one that is usually much more insightful." - Hiten Shah  --------  Instead of starting at a problem and then exploring towards a solution, start at a perfect solution and work backwards to today in order to figure out where to start.  How it’s useful  Most teams tend to work forwards, which optimizes for what is practical at the cost of what’s ultimately impactful.  Working backwards helps you ensure that you focus on the most impactful, long term work for the customer because you’re always reverse-engineering from a perfect solution for them.  Note that working backwards isn’t universally better, it just creates a different perspective. It’s healthy to plan using both perspectives.  —Brandon Chu  	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  --- James Clear Mental Models Overview https://jamesclear.com/mental-models  -------  Hiten Shah's 3 Mental Models Every PM Needs to Make Decisions https://amplitude.com/blog/2017/11/09/mental-models-help-pm-make-decisions  -------  Product Management Mental Models for Everyone - https://blackboxofpm.com/product-management-mental-models-for-everyone-31e7828cb50b				Product Management Mental Models for Everyone - https://blackboxofpm.com/product-management-mental-models-for-everyone-31e7828cb50b	4												1	1						1	1
	Arguing from First Principles	“A first principle is a basic, foundational, self-evident proposition or assumption that cannot be deduced from any other proposition or assumption.” (related: dimensionality reduction; orthogonality; “Reasonable minds can disagree” if underlying premises differ.)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					0																				
	Falsification / Confirmation Bias	"What a man wishes, he also believes. Similarly, what we believe is what we choose to see. This is commonly referred to as the confirmation bias. It is a deeply ingrained mental habit, both energy-conserving and comfortable, to look for confirmations of long-held wisdom rather than violations. Yet the scientific process – including hypothesis generation, blind testing when needed, and objective statistical rigor – is designed to root out precisely the opposite, which is why it works so well when followed.  The modern scientific enterprise operates under the principle of falsification: A method is termed scientific if it can be stated in such a way that a certain defined result would cause it to be proved false. Pseudo-knowledge and pseudo-science operate and propagate by being unfalsifiable – as with astrology, we are unable to prove them either correct or incorrect because the conditions under which they would be shown false are never stated."- Shane Parrish  “The tendency to search for, interpret, favor, and recall information in a way that confirms one’s preexisting beliefs or hypotheses, while giving disproportionately less consideration to alternative possibilities.” (related: cognitive dissonance)" - Gabriel Weinberg  “It is the peculiar and perpetual error of the human understanding to be more moved and excited by affirmatives than by negatives.” — Francis Bacon	Shane Parrish's Farnam Street Mental Model Guide https://www.farnamstreetblog.com/mental-models/  ---  Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d  --- Thucydides via  13 Mental Models Every Founder Should Know https://medium.com/the-mission/13-mental-models-every-founder-should-know-c4d44afdcdd					2									1				1							
	Circle of Competence	An idea introduced by Warren Buffett and Charles Munger in relation to investing: each individual tends to have an area or areas in which they really, truly know their stuff, their area of special competence. Areas not inside that circle are problematic because not only are we ignorant about them, but we may also be ignorant of our own ignorance. Thus, when we're making decisions, it becomes important to define and attend to our special circle, so as to act accordingly.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
	The Principle of Parsimony (Occam’s Razor)	Named after the friar William of Ockham, Occam’s Razor is a heuristic by which we select among competing explanations. Ockham stated that we should prefer the simplest explanation with the least moving parts: it is easier to falsify (see: Falsification), easier to understand, and more likely, on average, to be correct. This principle is not an iron law but a tendency and a mindset: If all else is equal, it’s more likely that the simple solution suffices. Of course, we also keep in mind Einstein’s famous idea (even if apocryphal) that “an idea should be made as simple as possible, but no simpler.” - Shane Parrish  “Among competing hypotheses, the one with the fewest assumptions should be selected.” (related: conjunction fallacy, overfitting, “when you hear hoofbeats, think of horses not zebras.”) - Gabriel Weinberg  "Don’t concoct a complicated, extravagant theory if you’ve got a simpler one (containing fewer ingredients, fewer entities) that handles the  phenomenon just as well. If exposure to extremely cold air can account for all the symptoms of frostbite, don’t postulate unobserved “snow germs” or “arctic microbes.” Kepler’s laws explain the orbits of the planets; we have no need to hypothesize pilots guiding the planets from control panels hidden under the surface." - Daniel Dennett	Shane Parrish's Farnam Street Mental Model Guide via https://www.farnamstreetblog.com/mental-models/  ---  Gabriel Weinberg's Mental Models I Find Repeatedly Useful via https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d  --- Philosopher Daniel Dennett's Book Intuition Pumps https://www.amazon.com/Intuition-Pumps-Other-Tools-Thinking/dp/1491518871					3													1	1			1			
	Hanlon's Razor	"Harder to trace in its origin, Hanlon’s Razor states that we should not attribute to malice that which is more easily explained by stupidity. In a complex world, this principle helps us avoid extreme paranoia and ideology, often very hard to escape from, by not generally assuming that bad results are the fault of a bad actor, although they can be. More likely, a mistake has been made."  - Shane Parrish  “Never attribute to malice that which is adequately explained by carelessness.” (related: fundamental attribution error — “ the tendency for people to place an undue emphasis on internal characteristics of the agent (character or intention), rather than external factors, in explaining another person’s behavior in a given situation.”) - Gabriel Weinberg	Shane Parrish's Farnam Street Mental Model Guide via https://www.farnamstreetblog.com/mental-models/  ---  Gabriel Weinberg's Mental Models I Find Repeatedly Useful via https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d					2													1	1						
	Second-Order Thinking	In all human systems and most complex systems, the second layer of effects often dwarfs the first layer, yet often goes unconsidered. In other words, we must consider that effects have effects. Second-order thinking is best illustrated by the idea of standing on your tiptoes at a parade: Once one person does it, everyone will do it in order to see, thus negating the first tiptoer. Now, however, the whole parade audience suffers on their toes rather than standing firmly on their whole feet.	Shane Parrish's Farnam Street Mental Model Guide					1													1							
